Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,10026.549805,10026.549805,9964.519531,9988.589844,9988.589844,3000200000
2015-09-15,10008.629883,10123.280273,9996.830078,10105.870117,10105.870117,3239860000
2015-09-16,10139.089844,10244.690430,10138.290039,10236.719727,10236.719727,3630680000
2015-09-17,10217.049805,10362.259766,10200.620117,10215.540039,10215.540039,4183790000
2015-09-18,10118.219727,10130.900391,10009.309570,10031.599609,10031.599609,6021240000
2015-09-21,10049.360352,10132.059570,10026.139648,10066.070313,10066.070313,3269350000
2015-09-22,9970.259766,9970.259766,9855.690430,9912.599609,9912.599609,3808260000
2015-09-23,9923.730469,9941.469727,9847.089844,9867.900391,9867.900391,3190530000
2015-09-24,9813.160156,9859.879883,9727.000000,9837.809570,9837.809570,4091530000
2015-09-25,9913.629883,9948.769531,9814.570313,9857.259766,9857.259766,3721870000
2015-09-28,9803.400391,9803.400391,9590.450195,9601.419922,9601.419922,4326660000
2015-09-29,9612.629883,9670.299805,9565.240234,9622.070313,9622.070313,4132390000
2015-09-30,9698.929688,9803.639648,9689.190430,9799.690430,9799.690430,4525070000
2015-10-01,9832.330078,9865.049805,9720.849609,9820.950195,9820.950195,3983600000
2015-10-02,9755.780273,9973.559570,9697.269531,9973.559570,9973.559570,4378570000
2015-10-05,10035.860352,10176.980469,10035.860352,10167.929688,10167.929688,4334490000
2015-10-06,10167.500000,10205.110352,10124.919922,10156.379883,10156.379883,4202400000
2015-10-07,10212.349609,10284.259766,10168.009766,10258.519531,10258.519531,4666470000
2015-10-08,10238.120117,10375.110352,10222.070313,10361.040039,10361.040039,3939140000
2015-10-09,10376.690430,10400.150391,10331.030273,10361.259766,10361.259766,3706900000
2015-10-12,10356.330078,10367.700195,10329.009766,10356.490234,10356.490234,2893250000
2015-10-13,10298.570313,10360.780273,10254.419922,10262.940430,10262.940430,3401920000
2015-10-14,10267.500000,10303.700195,10214.990234,10229.669922,10229.669922,3644590000
2015-10-15,10259.509766,10380.839844,10244.990234,10378.269531,10378.269531,3746290000
2015-10-16,10407.280273,10424.990234,10365.690430,10421.910156,10421.910156,3595430000
2015-10-19,10385.459961,10399.269531,10353.009766,10391.599609,10391.599609,3287320000
2015-10-20,10377.240234,10427.339844,10361.410156,10383.419922,10383.419922,3331500000
2015-10-21,10403.740234,10410.990234,10299.049805,10306.440430,10306.440430,3627790000
2015-10-22,10342.750000,10467.110352,10342.750000,10448.830078,10448.830078,4430850000
2015-10-23,10486.940430,10519.830078,10450.440430,10506.509766,10506.509766,4108460000
2015-10-26,10495.910156,10495.910156,10458.059570,10464.620117,10464.620117,3385800000
2015-10-27,10420.750000,10427.750000,10364.919922,10400.179688,10400.179688,4216880000
2015-10-28,10428.030273,10538.219727,10409.459961,10538.200195,10538.200195,4698110000
2015-10-29,10504.349609,10514.440430,10466.209961,10498.160156,10498.160156,4008940000
2015-10-30,10509.150391,10531.429688,10460.830078,10460.959961,10460.959961,4256200000
2015-11-02,10474.580078,10591.250000,10473.839844,10579.870117,10579.870117,3760020000
2015-11-03,10556.360352,10641.620117,10542.209961,10609.919922,10609.919922,4272060000
2015-11-04,10629.589844,10638.690430,10536.480469,10563.959961,10563.959961,4078870000
2015-11-05,10563.929688,10588.129883,10501.309570,10548.360352,10548.360352,4051890000
2015-11-06,10525.650391,10531.110352,10441.839844,10513.360352,10513.360352,4369020000
2015-11-09,10486.719727,10488.200195,10381.410156,10415.190430,10415.190430,3882350000
2015-11-10,10389.179688,10440.230469,10370.669922,10432.349609,10432.349609,3821440000
2015-11-11,10454.150391,10460.349609,10396.790039,10399.900391,10399.900391,3692410000
2015-11-12,10335.000000,10342.870117,10235.200195,10235.950195,10235.950195,4016370000
2015-11-13,10206.540039,10228.889648,10145.650391,10155.070313,10155.070313,4278750000
2015-11-16,10143.379883,10299.459961,10141.549805,10299.400391,10299.400391,3741240000
2015-11-17,10320.059570,10368.379883,10266.559570,10285.759766,10285.759766,4427350000
2015-11-18,10285.370117,10436.000000,10285.370117,10429.599609,10429.599609,3926390000
2015-11-19,10426.129883,10455.190430,10416.370117,10431.459961,10431.459961,3628110000
2015-11-20,10460.250000,10499.049805,10430.059570,10444.200195,10444.200195,3929600000
2015-11-23,10433.629883,10469.620117,10402.459961,10421.410156,10421.410156,3587980000
2015-11-24,10379.269531,10472.790039,10358.030273,10449.719727,10449.719727,3884930000
2015-11-25,10449.679688,10471.280273,10430.139648,10450.360352,10450.360352,2852940000
2015-11-27,10442.610352,10463.969727,10425.559570,10450.530273,10450.530273,1466840000
2015-11-30,10455.480469,10460.330078,10409.459961,10409.589844,10409.589844,4275030000
