Date,Open,High,Low,Close,Adj Close,Volume
2016-01-08,116.320000,116.680000,112.919998,113.059998,97.521744,635800
2016-01-11,114.260002,114.879997,113.459999,114.809998,99.031242,511500
2016-01-12,116.650002,116.720001,114.470001,115.830002,99.911079,341200
2016-01-13,117.199997,117.360001,114.540001,114.989998,99.186516,345800
2016-01-14,115.370003,116.629997,114.209999,116.290001,100.307861,354100
2016-01-15,114.059998,114.169998,111.889999,112.599998,97.124977,637000
2016-01-19,116.010002,116.099998,113.870003,115.019997,99.212387,485500
2016-01-20,112.300003,112.430000,108.940002,111.510002,96.184792,1000200
2016-01-21,110.360001,112.050003,109.470001,111.099998,95.831123,285300
2016-01-22,115.110001,116.040001,114.820000,115.949997,100.014580,595500
2016-01-25,114.370003,114.589996,113.209999,113.410004,97.823662,248600
2016-01-26,113.300003,114.379997,113.180000,114.349998,98.634476,267500
2016-01-27,116.000000,117.089996,114.800003,115.320000,99.471169,320900
2016-01-28,116.680000,116.680000,114.930000,116.120003,100.161224,313700
2016-01-29,118.750000,120.029999,118.010002,120.029999,103.533852,746000
2016-02-01,120.000000,120.769997,119.160004,120.400002,103.853004,416700
2016-02-02,120.150002,120.150002,118.500000,119.000000,102.645409,353400
2016-02-03,116.480003,116.750000,113.389999,114.989998,99.186516,622600
2016-02-04,114.989998,114.989998,112.730003,114.290001,98.582718,560900
2016-02-05,112.239998,112.519997,109.000000,110.389999,95.218712,851100
2016-02-08,109.739998,109.809998,107.970001,109.129997,94.131866,687700
2016-02-09,105.989998,107.570000,105.580002,106.839996,92.156593,498800
2016-02-10,108.620003,109.470001,106.639999,106.769997,92.096222,414100
2016-02-11,105.290001,105.779999,104.169998,105.080002,90.638496,545900
2016-02-12,103.169998,105.370003,102.540001,105.260002,90.793747,668300
2016-02-16,108.050003,108.589996,107.449997,108.209999,93.338310,476700
2016-02-17,107.690002,108.449997,107.599998,108.129997,93.269302,696500
2016-02-18,108.580002,108.949997,107.220001,107.449997,92.682755,224700
2016-02-19,105.680000,105.849998,104.800003,105.309998,90.836868,723200
2016-02-22,106.070000,106.900002,106.059998,106.690002,92.027206,297400
2016-02-23,106.550003,106.669998,105.529999,105.620003,91.104279,161700
2016-02-24,105.070000,105.220001,102.849998,104.589996,90.215820,628600
2016-02-25,104.589996,105.589996,104.459999,105.570000,91.061142,849000
2016-02-26,105.000000,106.080002,104.629997,105.139999,90.690231,492600
2016-02-29,105.099998,105.279999,104.099998,104.099998,89.793167,423600
2016-03-01,105.300003,106.650002,104.889999,106.410004,91.785683,344700
2016-03-02,106.849998,107.300003,106.519997,106.989998,92.285973,275700
2016-03-03,107.690002,108.570000,107.639999,108.570000,93.648834,289300
2016-03-04,109.559998,110.290001,109.000000,109.550003,94.494156,204700
2016-03-07,107.230003,108.550003,107.070000,107.910004,93.079544,745300
2016-03-08,106.519997,106.699997,105.620003,105.820000,91.276779,459500
2016-03-09,106.860001,106.910004,105.800003,106.250000,91.647682,201900
2016-03-10,108.760002,108.980003,106.160004,107.080002,92.363617,644900
2016-03-11,108.660004,109.279999,108.540001,109.260002,94.244011,216700
2016-03-14,109.250000,109.489998,108.809998,108.949997,93.976608,251500
2016-03-15,107.410004,107.419998,106.449997,107.220001,92.484375,404400
2016-03-16,106.470001,107.769997,106.099998,107.540001,92.760391,343000
2016-03-17,106.889999,108.480003,106.440002,107.930000,93.096794,354700
2016-03-18,106.279999,106.930000,105.800003,106.599998,91.949585,615500
2016-03-21,106.410004,107.430000,106.410004,107.139999,92.415359,442100
2016-03-22,108.110001,109.320000,107.760002,108.599998,93.674713,318600
2016-03-23,108.480003,108.989998,108.099998,108.099998,93.243439,291100
2016-03-24,106.389999,106.389999,105.750000,106.320000,91.708069,399800
2016-03-28,108.500000,109.089996,108.089996,108.690002,95.563568,450500
2016-03-29,108.000000,108.419998,107.339996,108.349998,97.064163,345900
2016-03-30,108.000000,108.099998,107.449997,107.599998,96.392288,323500
2016-03-31,106.410004,106.760002,106.120003,106.320000,95.245605,384500
2016-04-01,103.470001,104.029999,103.010002,103.540001,92.755180,531800
2016-04-04,101.660004,101.870003,100.910004,101.379997,90.820160,993600
2016-04-05,98.230003,99.559998,98.110001,98.739998,88.455147,1156400
2016-04-06,98.900002,99.620003,98.379997,99.510002,89.144943,492300
2016-04-07,99.209999,99.250000,97.800003,98.269997,88.034103,547600
2016-04-08,100.699997,101.099998,100.400002,100.660004,90.175163,517100
2016-04-11,98.529999,99.089996,98.300003,98.430000,88.177437,990300
2016-04-12,101.230003,101.970001,101.019997,101.580002,90.999321,523400
2016-04-13,103.760002,104.309998,103.489998,104.260002,93.400177,628900
2016-04-14,105.000000,105.389999,104.790001,104.959999,94.027267,406500
2016-04-15,104.510002,104.510002,103.489998,103.680000,92.880585,399300
2016-04-18,102.000000,103.540001,102.000000,103.360001,92.593925,303000
2016-04-19,105.099998,105.379997,104.449997,104.699997,93.794350,252000
2016-04-20,104.720001,105.330002,104.160004,104.849998,93.928726,261300
2016-04-21,105.540001,105.860001,105.250000,105.440002,94.457268,310500
2016-04-22,106.959999,107.570000,106.669998,107.449997,96.257912,473700
2016-04-25,107.519997,107.910004,106.699997,107.339996,96.159363,307000
2016-04-26,107.349998,107.430000,106.760002,107.320000,96.141449,252500
2016-04-27,105.750000,106.639999,105.510002,106.370003,95.290405,271100
2016-04-28,103.620003,104.660004,102.809998,102.959999,92.235588,740300
2016-04-29,102.690002,102.760002,101.419998,101.699997,91.106827,496300
2016-05-02,102.519997,102.730003,101.959999,102.470001,91.796623,336900
2016-05-03,101.669998,101.919998,100.599998,101.449997,90.882874,315000
2016-05-04,101.680000,101.680000,100.589996,100.620003,90.139328,350500
2016-05-05,101.260002,101.449997,100.669998,101.269997,90.721619,377200
2016-05-06,101.580002,102.080002,101.199997,101.959999,91.339745,283100
2016-05-09,103.459999,103.639999,102.330002,102.610001,91.922058,360200
2016-05-10,104.150002,104.820000,103.949997,104.820000,93.901848,483400
2016-05-11,101.320000,101.730003,98.019997,98.440002,88.186394,1241800
2016-05-12,98.440002,101.989998,98.440002,101.379997,90.820160,1043200
